Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)	vt	error(Teff)	error(logg)	error(xi)	error([alpha/Fe])
S60286	152.09186637000005	12.339109257999999	4241	0.4171354273955027	-1.496390008462065	0.1016477963078172	0.10923587474449103	-1.905885462583769	0.15106054170919014	2.285588289052164	2.077852925810627	20.098945660980338	0.12109094668578398	0.0	0.10180473020458451
S21673	152.15377473	12.336510885	4015	0.23843322694301605	-1.2292471694744964	0.10121291995011367	0.15865691686684555	-1.2292471694744964	0.17658013648988385	2.962915737158651	2.0214552676233595	13.705792701755241	0.13838916869022616	0.0	0.09597009412380571
S60132	152.096828565	12.310590451	3873	0.2748816907405853	-1.2038247135113729	0.10124841851362903	0.07048428061546888	-1.0383936315741853	0.21002786977272891	2.7009601984416625	1.9682142797246849	12.338660747430813	0.13383583601289148	0.0	0.09500629341636442
S31893	152.13580674	12.301660575	4190	0.3631409804026286	-1.0929101243681585	0.10139281141954692	0.2383431928705609	-1.2002388627302183	0.17243347428428507	2.40837401421419	1.9681927135717983	19.834400306058903	0.12523772546875295	0.0	0.10750229563973178
S23195	152.11107336	12.327771206	4432	0.5077734688917795	-1.1323805564376952	0.10130910825391597	0.0272822118624416	-1.2559110892991527	0.1300984146683833	2.631505832579798	1.9234158049978087	15.784172775278128	0.11437929258126095	0.0	0.09544079235085963
S30739	152.185743735	12.289666884	4004	0.32078478733698523	-1.6376806627015001	0.1014142527792879	0.03687984062754232	-1.825398945530018	0.16414340680998274	2.456694455185609	1.873087749835584	15.729756067985363	0.12751410314616957	0.0	0.09208539619989585
S60462	152.085211575	12.351049602	4162	0.3970870574315388	-1.854022318391608	0.10199605036697655	-0.093943744512549	-2.064323796285894	0.17419990573792335	1.1141636995886242	1.8397930848477777	24.294156775476825	0.12342354077732874	0.0	0.10782726126611075
S61214	152.04564774000005	12.365731963	4142	0.4900103509426117	-1.6861205868188027	0.1017946525518831	-0.14558989153442695	-1.8252574495499456	0.12849970244126135	1.2450459754287904	2.016187666503536	21.489108182574594	0.12005349013644986	0.0	0.10421874179269608
S60803	152.071446765	12.312495759	4250	0.5350726544857024	-1.2494545845766802	0.10132526231324232	0.13338449938537558	-1.1835905726572151	0.1839906813630656	1.4276833502815809	1.9827413391936188	14.652907971825707	0.11606107330338333	0.0	0.09316681776912028
S22531	152.129001435	12.332873995999998	4200	0.5109465817610422	-1.199858052937603	0.10143230279348349	0.20124340475935126	-1.000345604415238	0.19444478048255934	2.5563339063804693	1.8763832840175665	17.82242052115829	0.1175545757835289	0.0	0.10362596550750446
S20868	152.186233635	12.339123485999998	4256	0.5703694423039753	-1.5775638129424268	0.10181379758647832	-0.07125966968104283	-1.908911869735904	0.17052295845335755	1.2756360489844816	1.8500710330195889	18.773368859944455	0.11395052547886614	0.0	0.10316901144986679
S60223	152.09385727499995	12.322749007999999	4109	0.4973332285881042	-1.406477866962809	0.10153220657179451	0.07202613777258282	-1.4680949236201917	0.1435028396408605	1.6025842302113769	1.9808083055798735	20.268582248077728	0.11960077597483891	0.0	0.10089249911249283
S30273	152.250696525	12.305874792000001	4051	0.4101915458838145	-2.267657156300921	0.10288820055518057	-0.20048826860320626	-2.506079101082376	0.2521407429751481	1.1385302274216165	2.06697389175859	33.55915485569592	0.12123608593935693	0.0	0.10734465759138988
S60970	152.062215345	12.345451821	4132	0.4889861345291137	-1.4588969139294607	0.10186763698760776	0.16903554689105155	-1.5464223314400103	0.14096083166423	1.9364486877303364	1.9979835332340456	21.175336422153173	0.12015337136541095	0.0	0.10319023487652641
S31007	152.17048677	12.301782689000001	4089	0.5128464897473652	-1.4796157344869851	0.10145818811734625	-0.011600368298194724	-1.7584945055057783	0.1594460348899267	1.4111598130638776	1.879811040377076	17.375967387942094	0.11830030945277122	0.0	0.09566817619326652
S23429	152.10472242	12.335392305	4095	0.5347906649112701	-1.2461246930167484	0.10146465261877308	-0.08399148427716986	-1.6054042833179931	0.15211126570533198	2.4373808097772987	2.0488902534823983	19.380917093039045	0.11721261118537259	0.0	0.11251455438315032
S21987	152.143504425	12.315710394000002	4157	0.5543124775091807	-1.437753154001481	0.10322565783974674	0.14109471227960418	-1.7002650645922162	0.16748856407371576	1.3702553847166472	2.026867432599032	25.780266151179458	0.11618788499386914	0.0	0.12387863746913544
S22390	152.132534655	12.334873273	4077	0.4975845714410146	-1.4070990246136859	0.10193447561327641	0.09336832949757704	-1.5128293483612394	0.1760023629627756	1.6825591137336806	2.027110171892572	19.469484105240966	0.11767557795490009	0.0	0.10892580293281895
S22996	152.11630566	12.322050239000001	4340	0.6614586114883423	-1.2539794622869282	0.10146592336640464	0.015948137035807032	-1.5869266946623373	0.14770033540410998	1.5338461653973992	2.0250723423147257	22.2465794869362	0.1063502114525997	0.0	0.0996534556676045
S31194	152.161172715	12.301442369	4175	0.5847657124201456	-1.3496608408029809	0.1016424149535668	0.044763582445719416	-1.5105860158635058	0.15834868919585227	1.5102656671814787	1.9697037757390727	19.976558587207634	0.11458421944040792	0.0	0.10400536456845696
S21298	152.16689526	12.313056145	4242	0.6118833422660827	-1.3264452712397168	0.101435344164475	0.10597680494909356	-1.3365040943548718	0.16949990778272886	1.654364818857441	1.9483712059479568	15.856454790010327	0.11232680832240367	0.0	0.09598540015897218
S60396	152.088003795	12.328667855	4078	0.5207513272762297	-1.2172087266861469	0.1014282652033289	0.018652894113766992	-1.1891028330716054	0.18620107611002845	2.143318788954009	1.923790491006006	16.3865121401719	0.11694069364921507	0.0	0.10265523929027978
S20345	152.24473674	12.310028749	4228	0.6843526562054951	-1.3942278639836168	0.10160823435301558	-0.03260642748266878	-1.670908007441268	0.17786416170257147	1.3970211368903631	1.896254309035242	21.638939403621954	0.10931802507878459	0.0	0.0983913642820071
S60623	152.079761235	12.346818417	4223	0.6961961785952249	-1.3752802455979911	0.10251143384796077	0.10186922516506904	-1.4556509120594188	0.17432276884200645	1.9224880282502943	1.8827484539931882	22.67406915898055	0.10883836091437865	0.0	0.11367892662371877
S21236	152.169255885	12.35506414	4307	0.7312072118123373	-0.9275455557416192	0.10158274459015629	-0.3025822113574501	-1.2961441606222237	0.20586228145119687	1.3965043213078598	1.882180247078581	19.49068454859796	0.10632278397762598	0.0	0.11102779620009336
S61331	152.03358753	12.331562422000001	4265	0.7375830014546713	-1.3857802922978693	0.10160241258627145	0.043935503280148835	-1.5710815031832337	0.14622391625713607	1.0862322396470818	1.8732882114645608	19.617675697643648	0.10680390460455298	0.0	0.10088026977913457
S71561	152.051472285	12.299305642	4304	0.7374920050303141	-1.3742818290462948	0.10157979762166415	0.13020949141676866	-1.5270933931244377	0.18663942973155925	1.739744961379013	1.862227562623488	19.249508457322374	0.10667967817354605	0.0	0.09529993311467369
S30978	152.17177454999995	12.296512865	4357	0.7668604254722594	-1.3524097726889217	0.10283416540371601	0.21378993818722847	-1.3556558746522742	0.15462772641988776	1.1267238466066802	2.0441387897316305	26.665812357044643	0.10444640638362283	0.0	0.11937546120569933
S61563	151.996870185	12.343317631	4194	0.6761963963508606	-1.5732125594833233	0.10164887801753054	-0.05375931539217793	-2.030839729255972	0.19156618931852748	1.313175817880052	2.0195818211016907	18.734177355479634	0.10955219978933262	0.0	0.09814362151342362
S21712	152.15278038	12.310591002999999	4383	0.831019937992096	-1.7292800117965936	0.10666496041879735	-0.28344187347065136	-1.8042369852347209	0.23180977433261546	0.8447409736903718	2.0864912118566554	34.3421408846478	0.1025540858591755	0.0	0.17594091208397442
S61347	152.03271973499997	12.350091467999999	4374	0.8212180534998574	-1.9846706556411888	0.1064549337169088	0.12874583548787447	-1.827567634363548	0.1580827824252326	1.0133263470679252	2.0078223276685816	29.047950654135402	0.10277602087318603	0.0	0.1477356274017193
S60225	152.093955885	12.345937544000002	4437	0.8747743765513102	-1.1460088636671155	0.10272696624251496	-0.194915578992276	-1.8974163134082327	0.21885358033951552	1.0375613213833086	2.0162544980336508	27.43476325629202	0.10142125559980562	0.0	0.14457911924219954
S22621	152.12629939500005	12.340320797999999	4692	0.9913208683331808	-1.2174475264285425	0.10478386848278137	-0.06777228665016878	-1.0998087523559918	0.16753304708008634	1.127523029027896	2.0251319105717345	28.577556266533236	0.10042278717269569	0.0	0.14723746145947844
S31669	152.14321843500005	12.29831537	4428	0.9323885639508565	-1.8188149894322403	0.11429462608132752	0.2314568095462137	-2.187350799840692	0.2734957529610784	0.7340577715631447	1.9862341942569848	37.31107780184312	0.10109183370987246	0.0	0.18284527667740458
S22595	152.127089175	12.328519486	4429	0.9149316151936848	-1.1325289620566383	0.10232896415549697	0.0845639256237546	-1.3292090743594274	0.21967877640846395	1.3110595701985082	1.91880852133838	28.67806588970315	0.1013931386415778	0.0	0.1192390980910357
S30854	152.17903707	12.303010725999998	4442	0.9265151023864744	-2.594513691341088	0.10911913304722089	0.1351023827126433	-6.4097301931087225	564.9990831343142	0.7859166864258057	1.865224570394828	33.02319535186343	0.10097854595931083	0.0	0.14246662247070996
S60646	152.078827365	12.359981400999999	4341	0.924934148788452	-1.1945048149513224	0.10281468770390402	0.15824134523292824	-1.553735743607032	0.1879925390028674	1.1371386400782446	1.873459459903033	23.697393093383425	0.10178717728558534	0.0	0.12697587997431867
S61288	152.03826035999995	12.33231805	4398	0.9459551175435382	-1.351939511538334	0.10265225572134244	0.12203810104795056	-1.847049443604978	0.2061028491679	1.2819753231433837	2.021905545822686	28.559041930674972	0.10108047318169469	0.0	0.12186559030167915
S30374	152.23118709000005	12.289161860999998	4437	0.9923435250918068	-1.2615101035182552	0.10253657965625002	-0.06535774235952782	-1.5894984396695233	0.2212666316113606	1.0965494281145023	2.0044104116012806	29.4478632524669	0.10061149209292589	0.0	0.13694182673503166
S30332	152.23651942499995	12.299886587	4595	1.1049117247263591	-2.5459474335409618	0.1347443694365497	0.10754410377500333	-3.3467405086323745	1.2086588418293145	0.8964051127043429	1.978001390732564	40.04623238938127	0.10001800970926587	0.0	0.2610012597368999
S60810	152.07127943999996	12.324572981	4462	1.0519691705703735	-1.7656039791349794	0.11453233314141907	0.33234285282121323	-1.9672962762639168	0.30125987434349105	0.6277857411399758	1.926161091502545	37.213870772824755	0.10027036629070085	0.0	0.1713506577808595
S61387	152.02875489	12.357320827999999	4451	1.0411205689112346	-1.6902828903624254	0.10691555854295003	-0.04810739663907312	-7.65459523202269	4094.4500699940727	1.1508751802885695	1.8811358048865272	33.04346209162888	0.1003582086399186	0.0	0.1762382634636923
S60443	152.08585836	12.322461479000001	4379	1.0033468008041382	-1.5426912920274676	0.1075364509493483	0.07105714221768354	-1.2688562683742333	0.17271303271412716	0.8974850498095457	1.874849666856333	29.928978118684732	0.10093959233972988	0.0	0.17319213077668705
S30498	152.21130666	12.296090353	4383	1.0359391768773396	-1.5244123460946115	0.10549797141130157	0.06182646117629671	-1.5341036640095955	0.2430736785909511	0.8786806601813372	1.8802954218214427	25.41877743516318	0.10082075887166617	0.0	0.15713884223021332
S32186	152.127758655	12.298875392000001	4529	1.0965548356374104	-1.3509239723299094	0.11638989610853465	0.19276182086200594	-1.2073622318913961	0.2126912877342016	0.8794716775016066	2.022657573583671	50.162753705213106	0.10006916240475189	0.0	0.2509858933888235
S31789	152.13898384499996	12.302641724	4519	1.1364271243413289	-1.2491448387208963	0.11117701149222185	-0.08996967542028482	-1.4469951246181787	0.30569335590831603	0.9126001299713772	2.045784489673906	39.47515196126704	0.10006866656948733	0.0	0.25293062659929455
S31386	152.15352923999995	12.300348829	4445	1.1059236923853557	-1.8792896745060759	0.12543497473451387	0.004044956075349696	-2.116631883046785	0.3559046358659124	0.7524356046948131	2.0569354738556043	38.449450164414436	0.10016735925919285	0.0	0.2561524200010347
S20689	152.20143399	12.341582205	4437	1.0981072982152302	-1.3556949184939278	0.10426999010994802	-0.3311190897521718	-2.2030255094904057	0.3683271873844862	0.8731709448905296	2.0116278283804583	31.362509399775924	0.10021285265956044	0.0	0.14031021915263478
S61441	152.02180021499996	12.316488899000001	4664	1.1720477342605589	-1.4533464905244509	0.10832523297649517	0.2782350608557204	-1.3129634213882369	0.21051146872935425	0.8721578650403686	1.9460481592894103	43.76907065085074	0.10000845907118702	0.0	0.13922883301976516
S23382	152.10607515	12.333561408	4459	1.1005047957102456	-1.2636205678479238	0.10465097314759188	-0.11055109372601184	-1.6292876096731743	0.27814854417118096	1.543419723512523	1.9220237945867455	31.72081640056408	0.10018848676100962	0.0	0.17427633684751168
S61411	152.02505424	12.330878721	4526	1.1249645551045735	-1.5770512471390101	0.10302166913267016	-0.20598343853918846	-1.3940566221468145	0.1974118376787284	0.8484720264289243	1.9052066922072104	31.94571450069109	0.10007840600814784	0.0	0.12283247329525374
S21989	152.14350507	12.335147612	4368	1.0856626431147256	-1.3037605116468534	0.10739658307248783	0.06680143340739288	-1.3494704478811363	0.22349843530840974	0.799791143062938	1.8936831904045217	27.47137692825818	0.10076641219482219	0.0	0.19853103430448357
S61206	152.04606550500003	12.329546085999999	4504	1.1388697624206543	-1.8071162835454802	0.10561120821797675	-0.07185207252297088	-2.2430022879585554	0.3656252911280768	0.9104544994920156	1.8831163876294983	36.95305959052989	0.100069450937417	0.0	0.13826264304830224
S20372	152.24024557500005	12.323048618	4555	1.1846933364868162	-1.5747599107772343	0.11251038747740132	0.05039802044226771	-1.5776104805504467	0.3419336187132145	0.955493813946009	1.8808959685478464	40.057518573850196	0.10006439332768387	0.0	0.2018016278298914
S20507	152.219945325	12.334111191	4351	1.1084576447804768	-1.3714616898191363	0.1041170378969437	-0.09384914865494204	-1.3950314659526823	0.23776085042684186	0.8200927024933242	1.8856978372950297	22.019670608633874	0.10070364337231964	0.0	0.14745963956604075
S20640	152.20619463	12.354348065999998	4454	1.1373013655344644	-1.5790525762840155	0.10418152958547616	-0.07534926906775295	-1.459072195232519	0.2340801825498197	0.8031949960033103	1.8547527246152464	25.58496219532343	0.10009930929690572	0.0	0.13634861314872196
S60119	152.097264495	12.346006872	4448	1.1380239327748614	-1.4210679733983187	0.10800794050030627	0.032348951301359265	-1.8022542889905304	0.3471742441278872	0.8547625742451215	1.9612539639784157	31.506125626333862	0.10009868268583694	0.0	0.17530901684182504
S22756	152.12238687	12.310783501	4437	1.1314355134963987	-1.3019534781246092	0.10408107273478794	0.032462793235252925	-1.474273681662601	0.2639446781702269	0.7464386238213944	1.907814468589072	31.067530842016687	0.10012242886793614	0.0	0.14805572835857195
S61378	152.029845765	12.337000995999999	4742	1.2793535788853962	-1.0960304732282018	0.1029091406098685	-0.0969830347740957	-1.7393417016913808	0.3243175467841655	0.9667620619355024	1.897482298965188	35.39748311977659	0.10026678120581486	0.0	0.1207882010003525
S61043	152.05730259	12.318831371	4651	1.2359867095947263	-1.2426870168981432	0.10308156878278386	-0.1009947095068262	-1.119508975095795	0.2451389582963249	0.8677847198964144	1.9356783571996143	35.269563401598845	0.10006893248981197	0.0	0.12109226208199572
S32848	152.110069485	12.300202497999999	4317	1.1105014483133948	-1.6250047912543517	0.1047141770560318	-0.1433447242426112	-1.8247828703206181	0.3320646638453292	0.7267255489382239	1.9080568382444016	22.528420631164874	0.10096602421915189	0.0	0.14961081048165248
S61454	152.020586445	12.343323362000001	4575	1.2162327369054158	-1.1988237114156557	0.10732726996035423	0.0386752560279048	-1.469573395526334	0.21560698622204635	0.8836487959181571	1.8736666550688283	37.49798041996348	0.10005819229337533	0.0	0.18216134674301623
