Star	EW5432	EWerror5432	HFS5432	[Mn/H]5432	[Mn/Fe]5432	[Mn/Fe]error5432	EW5516	EWerror5516	HFS5516	[Mn/H]5516	[Mn/Fe]5516	[Mn/Fe]error5516
BL038	287.6	7.9	 −0.59	 −0.56	0.35	0.13	169.4	12.8	 −0.85	 −1.02	 −0.11	0.14
BL045	247.7	19.3	 −0.81	 −0.84	0.21	0.28	99.3	5.9	 −0.34	 −1.46	 −0.41	0.07
BL065	120.2	2.3	 −0.42	 −2.04	 −0.60	0.07	36.1	3.9	 −0.08	 −1.82	 −0.38	0.09
BL076	280.9	6.9	 −0.63	 −0.49	0.37	0.11	145.4	6.9	 −0.67	 −1.15	 −0.29	0.08
BL077	272.6	8.6	 −0.68	 −0.65	0.14	0.12	145.0	3.6	 −0.66	 −1.18	 −0.39	0.06
BL081	291.3	18.2	 −0.54	 −0.25	0.38	0.23	171.6	7.7	 −0.95	 −0.88	 −0.25	0.10
BL084	252.2	7.0	 −0.74	 −0.93	 −0.06	0.13	137.9	5.1	 −0.66	 −1.29	 −0.42	0.06
BL091	215.8	6.6	 −0.86	 −1.24	 −0.26	0.12	117.2	6.0	 −0.47	 −1.27	 −0.29	0.08
BL092	251.6	8.7	 −0.73	 −0.91	0.01	0.14	132.7	6.2	 −0.69	 −1.35	 −0.43	0.09
BL096	289.0	10.7	 −0.54	 −0.37	0.34	0.16	141.2	6.9	 −0.70	 −1.23	 −0.52	0.10
BL097	271.4	6.6	 −0.70	 −0.73	0.19	0.11	141.7	6.0	 −0.56	 −1.18	 −0.26	0.07
BL100	249.7	9.3	 −0.77	 −0.87	0.07	0.13	111.8	5.3	 −0.44	 −1.43	 −0.49	0.07
BL104	264.5	9.7	 −0.72	 −0.81	0.17	0.13	138.6	7.3	 −0.61	 −1.26	 −0.28	0.09
BL113	263.5	4.8	 −0.76	 −0.57	0.19	0.10	135.5	7.8	 −0.55	 −1.09	 −0.33	0.09
BL115	179.6	8.8	 −0.82	 −1.89	 −0.42	0.13	47.3	2.8	 −0.10	 −1.96	 −0.49	0.07
BL123	254.6	6.0	 −0.73	 −1.03	 −0.05	0.11	147.1	9.1	 −0.60	 −1.21	 −0.23	0.09
BL125	266.5	10.1	 −0.70	 −0.58	0.17	0.14	174.4	7.0	 −0.97	 −0.86	 −0.11	0.10
BL132	291.7	7.6	 −0.52	 −0.54	0.38	0.11	162.9	9.8	 −0.88	 −1.14	 −0.22	0.11
BL138					175.0	9.6	 −0.84	 −1.05	 −0.04	0.11
BL140	262.5	5.5	 −0.71	 −0.77	0.06	0.10	136.1	3.5	 −0.65	 −1.29	 −0.46	0.08
BL141	255.0	8.7	 −0.76	 −0.74	0.10	0.13	144.6	3.9	 −0.72	 −1.13	 −0.29	0.07
BL146	255.6	8.1	 −0.73	 −0.88	0.05	0.12	138.2	4.0	 −0.54	 −1.20	 −0.27	0.07
BL149	241.8	9.3	 −0.78	 −0.95	 −0.03	0.14	112.2	10.1	 −0.39	 −1.37	 −0.45	0.11
BL150	293.8	12.9	 −0.55	 −0.38	0.44	0.18	155.6	8.2	 −0.74	 −1.08	 −0.26	0.10
BL151	261.2	8.0	 −0.72	 −0.74	0.14	0.12	148.7	3.6	 −0.75	 −1.13	 −0.25	0.08
BL155	294.8	8.2	 −0.57	 −0.37	0.34	0.13	170.4	6.2	 −0.79	 −0.91	 −0.20	0.09
BL156	214.4	8.6	 −0.81	 −1.42	 −0.27	0.14	95.4	5.9	 −0.28	 −1.51	 −0.36	0.08
BL158	255.9	11.1	 −0.73	 −0.65	0.20	0.18	85.5	37.5	 −0.28	 −1.59	 −0.74	0.33
BL160	264.5	12.8	 −0.73	 −0.77	0.10	0.18	151.6	4.8	 −0.72	 −1.13	 −0.26	0.08
BL163					166.5	7.5	 −0.74	 −0.89	 −0.15	0.10
BL166	269.7	7.4	 −0.71	 −0.71	0.18	0.13	151.8	9.3	 −0.65	 −1.09	 −0.20	0.11
BL168	274.6	10.2	 −0.65	 −0.44	0.46	0.16	133.5	6.1	 −0.61	 −1.19	 −0.29	0.09
BL171					138.1	5.4	 −0.50	 −1.23	 −0.31	0.08
BL173					95.4	64.5	 −0.25	 −1.58	 −0.71	0.58
BL185	272.8	7.5	 −0.67	 −0.50	0.27	0.13	182.3	4.6	 −1.03	 −0.78	 −0.01	0.09
BL190	287.4	6.9	 −0.61	 −0.60	0.19	0.11	145.0	6.4	 −0.59	 −1.21	 −0.42	0.07
BL195	191.7	6.9	 −0.80	 −1.44	 −0.46	0.11	108.8	4.2	 −0.40	 −1.22	 −0.24	0.07
BL196	258.7	7.5	 −0.73	 −1.05	 −0.01	0.11	133.6	8.2	 −0.46	 −1.32	 −0.28	0.09
BL197	297.8	8.8	 −0.52	 −0.47	0.42	0.12	159.5	5.8	 −0.78	 −1.14	 −0.25	0.08
BL203	297.4	24.2	 −0.49	 −0.24	0.60	0.30	152.5	10.3	 −0.78	 −1.09	 −0.25	0.12
BL205	248.6	6.6	 −0.79	 −0.62	0.09	0.10	158.4	3.5	 −0.73	 −0.82	 −0.11	0.07
BL208	272.1	6.0	 −0.67	 −0.36	0.32	0.11	133.6	17.8	 −0.60	 −1.11	 −0.43	0.16
BL210	276.2	12.0	 −0.66	 −0.55	0.21	0.18	175.1	8.8	 −0.90	 −0.88	 −0.12	0.11
BL211	294.5	7.4	 −0.52	 −0.24	0.38	0.11	172.6	14.9	 −0.96	 −0.91	 −0.29	0.17
BL213	270.2	4.8	 −0.71	 −0.71	0.23	0.09	141.3	5.7	 −0.61	 −1.20	 −0.26	0.08
BL216	297.9	5.3	 −0.54	 −0.37	0.42	0.09	191.9	9.9	 −1.01	 −0.74	0.05	0.12
BL218					182.3	9.2	 −1.11	 −0.87	 −0.24	0.14
BL221	237.3	4.6	 −0.81	 −1.02	 −0.19	0.10	140.3	4.8	 −0.68	 −1.19	 −0.36	0.07
BL227	266.0	18.0	 −0.66	 −0.55	0.32	0.28	160.1	8.1	 −0.94	 −1.01	 −0.14	0.12
BL228	278.9	8.7	 −0.67	 −0.74	0.13	0.16	134.6	10.3	 −0.52	 −1.32	 −0.45	0.09
BL229	274.8	8.2	 −0.65	 −0.67	0.01	0.11	178.1	3.8	 −0.84	 −0.88	 −0.20	0.07
BL233	271.8	5.6	 −0.68	 −0.61	0.04	0.09	160.3	4.3	 −0.78	 −1.01	 −0.36	0.08
BL239	257.9	5.0	 −0.76	 −0.65	0.29	0.10	126.4	4.0	 −0.55	 −1.22	 −0.28	0.07
BL242	239.2	5.2	 −0.82	 −1.02	0.12	0.10	131.3	5.9	 −0.59	 −1.25	 −0.11	0.08
BL247	281.5	21.8	 −0.65	 −0.61	0.23	0.29	140.4	14.7	 −0.56	 −1.21	 −0.37	0.15
BL250					157.8	5.8	 −0.75	 −1.13	 −0.49	0.10
BL253	292.1	8.2	 −0.60	 −0.50	0.20	0.13	167.7	12.9	 −0.77	 −0.99	 −0.29	0.13
BL257					174.7	8.9	 −0.82	 −0.92	 −0.38	0.11
BL258	283.8	7.1	 −0.62	 −0.45	0.13	0.12	179.1	6.8	 −0.93	 −0.83	 −0.25	0.11
BL260	268.2	9.9	 −0.68	 −0.88	 −0.02	0.13	146.2	3.1	 −0.54	 −1.19	 −0.33	0.07
BL261					156.5	12.0	 −0.88	 −1.01	 −0.23	0.15
BL266	156.3	7.8	 −0.64	 −1.98	 −0.52	0.10	49.9	2.4	 −0.11	 −1.81	 −0.35	0.07
BL267	236.9	14.1	 −0.84	 −0.83	 −0.09	0.21	139.3	10.3	 −0.65	 −1.05	 −0.31	0.11
BL269	254.0	7.1	 −0.69	 −0.76	0.04	0.11	164.4	9.9	 −0.98	 −1.02	 −0.22	0.13
BL278					210.9	14.3	 −1.06	 −0.54	0.19	0.18
BL279	111.4	5.7	 −0.52	 −2.22	 −0.70	0.10				
BL295					211.2	10.8	 −1.06	 −0.59	0.07	0.14
BL300	281.0	6.6	 −0.63	 −0.63	0.29	0.11	158.8	13.4	 −0.77	 −1.11	 −0.19	0.14
BL304	270.9	9.6	 −0.67	 −0.89	0.08	0.13	161.1	7.9	 −0.71	 −1.13	 −0.16	0.09
BL315	220.5	9.7	 −0.89	 −0.96	 −0.18	0.19	108.0	4.6	 −0.54	 −1.33	 −0.55	0.10
BL323	291.9	6.9	 −0.58	 −0.76	0.16	0.11	144.2	9.1	 −0.59	 −1.35	 −0.43	0.10