apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.4128.2M13101411+1807290,2M13101411+1807290,197.558832,18.124737,4764.81,2.591584,0.11103,-0.55893,0.25787,-0.2209831,0.03022795
apogee.apo25m.s.stars.4128.2M13103359+1805273,2M13103359+1805273,197.639959,18.090944,4746.635,2.466592,0.10992,-0.62738,0.2864,-0.2440853,0.04613863
apogee.apo25m.s.stars.4128.2M13103716+1755510,2M13103716+1755510,197.654847,17.930855,5004.898,3.306667,0.034842,-0.54005,0.26761,-0.1975113,0.04046323
apogee.apo25m.s.stars.4128.2M13105655+1734023,2M13105655+1734023,197.735645,17.567331,4767.309,2.444796,0.13074,-0.16788,0.21561,-0.1403293,0.02427469
apogee.apo25m.s.stars.4128.2M13105695+1821132,2M13105695+1821132,197.73733,18.353689,4937.293,2.893518,0.16398,-0.68225,0.2495,-0.1368734,0.05732302
apogee.apo25m.s.stars.4128.2M13110767+1723448,2M13110767+1723448,197.781976,17.39579,4635.336,1.990731,0.15311,-0.82724,0.20067,-0.2474371,0.03566884
apogee.apo25m.s.stars.4128.2M13112285+1748465,2M13112285+1748465,197.845237,17.812922,4291.372,1.07126,0.32866,-0.91992,0.077223,-0.3077589,0.04621591
apogee.apo25m.s.stars.4128.2M13113590+1724025,2M13113590+1724025,197.899599,17.400713,4557.761,2.465449,0.10588,0.0053492,0.05423,-0.007665314,0.02055218
apogee.apo25m.s.stars.4128.2M13113591+1827084,2M13113591+1827084,197.899653,18.452356,4993.42,2.55524,-0.020556,-0.67119,0.13936,-0.1234452,0.05791128
apogee.apo25m.s.stars.4128.2M13113878+1739006,2M13113878+1739006,197.911589,17.650183,4866.482,3.256345,-0.017045,-0.27898,0.21711,-0.08018363,0.02891762
apogee.apo25m.s.stars.4128.2M13114514+1824117,2M13114514+1824117,197.938086,18.403269,4789.528,2.667848,0.068131,-0.66941,0.25751,-0.2209604,0.03776141
apogee.apo25m.s.stars.4128.2M13115386+1749540,2M13115386+1749540,197.974451,17.831676,4746.415,2.538318,0.086972,-0.67493,0.184,-0.209617,0.03207705
apogee.apo25m.s.stars.4128.2M13115861+1752099,2M13115861+1752099,197.994236,17.869421,4649.719,2.541186,0.10907,-0.4795,0.24108,-0.1808415,0.02782675
apogee.apo25m.s.stars.4128.2M13120193+1718156,2M13120193+1718156,198.008073,17.304344,4467.058,2.562676,0.088683,0.31584,0.073619,0.02664906,0.01675995
apogee.apo25m.s.stars.4128.2M13121505+1759276,2M13121505+1759276,198.06274,17.991016,4851.967,3.235936,-0.0044766,0.16162,0.0065097,0.06042647,0.02074774
apogee.apo25m.s.stars.4128.2M13122112+1740562,2M13122112+1740562,198.088038,17.682283,4846.158,3.141605,-0.032109,-0.38791,0.21479,-0.158243,0.02819794
apogee.apo25m.s.stars.4128.2M13123688+1801404,2M13123688+1801404,198.153674,18.02791,4909.981,2.481311,0.11119,-0.30339,0.0819,-0.100196,0.02746027
apogee.apo25m.s.stars.4128.2M13124295+1714286,2M13124295+1714286,198.178987,17.241301,5015.337,3.511777,-0.13346,-0.3272,0.21598,-0.1142942,0.0306533
apogee.apo25m.s.stars.4128.2M13124704+1749297,2M13124704+1749297,198.196038,17.824917,4777.047,2.394312,0.17476,-0.22994,0.22869,-0.1062892,0.02521754
apogee.apo25m.s.stars.4128.2M13132348+1804257,2M13132348+1804257,198.347857,18.073811,4209.959,1.199262,0.27093,-0.69128,0.121,-0.3474085,0.02712034
apogee.apo25m.s.stars.4128.2M13133764+1711290,2M13133764+1711290,198.406862,17.191393,5048.437,3.364358,-0.020287,-0.53891,0.26411,-0.2671472,0.05695986
apogee.apo25m.s.stars.4128.2M13140780+1736583,2M13140780+1736583,198.532517,17.616201,5071.563,3.377604,0.035083,-0.52824,0.26663,-0.2025234,0.04842309
apogee.apo25m.s.stars.4128.2M13150364+1806426,2M13150364+1806426,198.765204,18.111858,4567.874,1.809425,0.10313,-0.77596,0.44242,-0.2779143,0.03757582
apogee.apo25m.s.stars.4128.2M13151632+1750263,2M13151632+1750263,198.818008,17.840658,4878.913,3.15873,-0.00065449,-0.3657,0.19402,-0.1419508,0.02815024
apogee.apo25m.s.stars.4128.2M13152935+1736392,2M13152935+1736392,198.872302,17.610891,4888.138,3.0412,-0.012169,-0.26257,0.10895,-0.1039713,0.026644
apogee.apo25m.s.stars.4128.2M13153561+1746597,2M13153561+1746597,198.898395,17.78326,5016.088,3.592963,0.021679,-0.1557,0.17699,-0.08835067,0.02617258
apogee.apo25m.s.stars.4128.2M13154571+1802473,2M13154571+1802473,198.940499,18.046476,4801.043,3.468291,0.060899,0.34475,0.030239,0.1045058,0.01841308
apogee.apo25m.s.stars.4128.2M13154896+1757555,2M13154896+1757555,198.95402,17.965422,4141.251,1.36759,0.23614,-0.69694,0.24904,-0.2723206,0.026597
apogee.apo25m.s.stars.4128.2M13162115+1814441,2M13162115+1814441,199.088163,18.245596,5075.761,2.395674,0.15636,-0.73228,0.30702,-0.1896785,0.04328346