Cluster	OName	ID	Teff	log(g)	VTurb	[Fe/H]L	[Fe/H]	[Mn/Fe]	SimbadName	_RA	_DE
FIELD   	JF 	7217    	5550	 4.20	 0.70	-0.48	-0.41	-0.36	HIP 7217                  	023.24000	+23.69568
FIELD   	JF 	10140   	5425	 4.10	 0.85	-1.14	-0.97	-0.41	HIP 10140                 	032.60220	+29.80657
FIELD   	JF 	10449   	5650	 4.40	 1.00	-0.98	-0.90	-0.43	HIP 10449                 	033.66791	-01.20142
FIELD   	JF 	11349   	5375	 4.30	 0.80	-0.29	-0.15	-0.22	HIP 11349                 	036.50731	+05.77964
FIELD   	JF 	12306   	5650	 4.10	 1.05	-0.63	-0.51	-0.35	HIP 12306                 	039.61609	+30.81663
FIELD   	JF 	13366   	5700	 4.20	 0.95	-0.77	-0.72	-0.33	HIP 13366                 	042.99315	+11.36998
FIELD   	JF 	14086   	5075	 3.60	 1.10	-0.71	-0.68	-0.32	HIP 14086                 	045.40682	-28.09155
FIELD   	JF 	15394   	5150	 3.40	 1.00	-0.30	-0.08	-0.29	HIP 15394                 	049.61307	+15.17735
FIELD   	JF 	16214   	4825	 2.00	 1.45	-1.74	-1.72	-0.39	HIP 16214                 	052.22702	-00.41753
FIELD   	JF 	17085   	6500	 4.20	 1.70	-0.22	-0.13	-0.20	HIP 17085                 	054.90968	-04.14843
FIELD   	JF 	17147   	5800	 4.30	 1.10	-0.91	-0.83	-0.34	HIP 17147                 	055.09194	-03.21698
FIELD   	JF 	17666   	5050	 4.50	 0.60	-1.10	-0.93	-0.47	HIP 17666                 	056.75882	+41.42726
FIELD   	JF 	18235   	4950	 3.20	 0.90	-0.72	-0.63	-0.45	HIP 18235                 	058.49777	-23.13707
FIELD   	JF 	18915   	4700	 4.80	 1.35	-1.85	-1.77	-0.33	HIP 18915                 	060.81250	+35.27328
FIELD   	JF 	18995   	5575	 2.20	 2.05	-1.26	-1.24	-0.37	HIP 18995                 	061.04587	+23.40753
FIELD   	JF 	19007   	5150	 4.50	 1.20	-0.62	-0.51	-0.03	HIP 19007                 	061.08459	-04.65513
FIELD   	JF 	19378   	4500	 1.20	 1.70	-1.73	-1.75	-0.34	HIP 19378                 	062.26424	-15.89085
FIELD   	JF 	21000   	6200	 4.10	 1.40	-0.16	-0.11	-0.22	HIP 21000                 	067.55243	+05.29882
FIELD   	JF 	21586   	4850	 4.10	 0.25	-0.91	-0.67	-0.35	HIP 21586                 	069.53265	+51.17013
FIELD   	JF 	21609   	5200	 3.80	 1.55	-1.76	-1.70	-0.36	HIP 21609                 	069.59333	-65.41600
FIELD   	JF 	21648   	4300	 0.40	 1.70	-1.88	-1.84	-0.40	HIP 21648                 	069.73222	-13.34670
FIELD   	JF 	21767   	5650	 4.50	 0.70	-0.44	-0.35	-0.31	HIP 21767                 	070.12595	+35.21567
FIELD   	JF 	22246   	5200	 4.50	 1.20	-0.38	-0.33	-0.13	HIP 22246                 	071.82659	+45.98629
FIELD   	JF 	22632   	5825	 4.30	 1.35	-1.59	-1.61	-0.40	HIP 22632                 	073.04129	-27.06415
FIELD   	JF 	26688   	6500	 4.10	 1.50	-0.60	-0.61	-0.14	HIP 26688                 	085.07262	-19.22716
FIELD   	JF 	27654   	4550	 2.10	 1.50	-0.94	-0.87	-0.32	HIP 27654                 	087.83040	-20.87909
FIELD   	JF 	28188   	6175	 4.60	 1.25	-0.62	-0.63	-0.17	HIP 28188                 	089.35762	+21.98085
FIELD   	JF 	30668   	5150	 3.10	 1.05	-1.50	-1.54	-0.52	HIP 30668                 	096.66989	+03.42494
FIELD   	JF 	30990   	5825	 4.00	 1.30	-0.89	-0.93	-0.29	HIP 30990                 	097.56529	+60.78412
FIELD   	JF 	31188   	5750	 4.10	 1.65	-0.80	-0.63	-0.24	HIP 31188                 	098.15830	-06.48847
FIELD   	JF 	31639   	5300	 4.30	 0.60	-0.62	-0.47	-0.30	HIP 31639                 	099.31097	-25.36105
FIELD   	JF 	32308   	5175	 4.10	 1.00	-0.64	-0.42	-0.27	HIP 32308                 	101.17907	+14.90998
FIELD   	JF 	33582   	5725	 4.30	 1.25	-0.74	-0.80	-0.12	HIP 33582                 	104.66058	-00.48047
FIELD   	JF 	34146   	6300	 4.20	 1.95	-0.40	-0.43	-0.16	HIP 34146                 	106.20586	-16.28481
FIELD   	JF 	34548   	6250	 4.50	 1.40	-0.46	-0.45	-0.12	HIP 34548                 	107.36252	+52.03875
FIELD   	JF 	36491   	5800	 4.40	 1.10	-0.93	-0.87	-0.31	HIP 36491                 	112.62090	+18.96128
FIELD   	JF 	36849   	5850	 4.10	 1.10	-0.88	-0.88	-0.27	HIP 36849                 	113.64628	+16.90112
FIELD   	JF 	38541   	5300	 4.70	 0.85	-1.79	-1.74	-0.50	HIP 38541                 	118.38800	+30.60507
FIELD   	JF 	38621   	4700	 1.70	 2.25	-1.81	-1.88	-0.26	HIP 38621                 	118.61968	+62.13632
FIELD   	JF 	38625   	5200	 4.40	 0.30	-0.86	-0.73	-0.34	HIP 38625                 	118.64241	-01.41226
FIELD   	JF 	40068   	5225	 3.00	 1.35	-2.05	-1.98	-0.40	HIP 40068                 	122.77600	+79.90821
FIELD   	JF 	44075   	5900	 4.20	 1.25	-0.91	-0.90	-0.29	HIP 44075                 	134.68305	-16.13273
FIELD   	JF 	44116   	6275	 4.10	 1.45	-0.58	-0.53	-0.23	HIP 44116                 	134.77493	-00.62385
FIELD   	JF 	44716   	5000	 2.10	 1.70	-1.08	-1.10	-0.32	HIP 44716                 	136.67886	+20.50986
FIELD   	JF 	44919   	6350	 3.80	 1.80	-0.65	-0.68	-0.08	HIP 44919                 	137.26404	-27.03037
FIELD   	JF 	47139   	4600	 1.30	 1.80	-1.46	-1.48	-0.38	HIP 47139                 	144.08314	-20.88743
FIELD   	JF 	47640   	6600	 4.40	 1.50	-0.08	-0.05	-0.24	HIP 47640                 	145.69713	+45.51724
FIELD   	JF 	48146   	6200	 4.60	 1.05	-0.05	-0.02	-0.19	HIP 48146                 	147.22151	+08.97431
FIELD   	JF 	49371   	4950	 2.30	 1.75	-1.95	-1.89	-0.38	HIP 49371                 	151.17993	+54.34540
FIELD   	JF 	50139   	5600	 4.30	 0.35	-0.68	-0.56	-0.31	HIP 50139                 	153.53473	+03.15130
FIELD   	JF 	54858   	5250	 2.00	 2.15	-1.17	-1.20	-0.34	HIP 54858                 	168.47824	+39.97776
FIELD   	JF 	57265   	5875	 4.00	 1.50	-1.10	-1.05	-0.36	HIP 57265                 	176.14877	+25.53658
FIELD   	JF 	57850   	4375	 0.80	 2.75	-1.78	-1.78	-0.29	HIP 57850                 	177.95880	-05.76227
FIELD   	JF 	58229   	5875	 4.10	 1.25	-0.94	-0.92	-0.43	HIP 58229                 	179.15010	-21.41940
FIELD   	JF 	58357   	5050	 3.40	 1.20	-0.65	-0.72	-0.25	HIP 58357                 	179.50034	+48.20345
FIELD   	JF 	59239   	5125	 2.10	 1.55	-1.49	-1.50	-0.39	HIP 59239                 	182.26133	+59.01809
FIELD   	JF 	59330   	5750	 4.10	 1.25	-0.75	-0.73	-0.26	HIP 59330                 	182.56615	+54.48814
FIELD   	JF 	59750   	6200	 4.40	 1.10	-0.78	-0.64	-0.45	HIP 59750                 	183.79399	-10.31240
FIELD   	JF 	60551   	5725	 4.40	 1.05	-0.86	-0.87	-0.24	HIP 60551                 	186.19120	+38.31874
FIELD   	JF 	62747   	4285	 2.20	 1.45	-1.54	-1.51	-0.45	HIP 62747                 	192.85498	-13.49116
FIELD   	JF 	62882   	5600	 3.70	 0.04	-1.26	-1.12	-0.55	HIP 62882                 	193.31272	-18.52222
FIELD   	JF 	63970   	6075	 4.40	 1.00	-0.09	 0.03	-0.26	HIP 63970                 	196.63603	+32.66685
FIELD   	JF 	64115   	4650	 2.40	 1.10	-0.74	-0.62	-0.48	HIP 64115                 	197.10745	-07.30846
FIELD   	JF 	64426   	5800	 4.10	 1.25	-0.82	-0.78	-0.30	HIP 64426                 	198.08226	+17.51712
FIELD   	JF 	65268   	6250	 4.10	 1.50	-0.67	-0.60	-0.23	HIP 65268                 	200.64229	+26.11570
FIELD   	JF 	66246   	4400	 1.00	 2.55	-1.91	-2.00	-0.19	HIP 66246                 	203.66630	-16.32298
FIELD   	JF 	66509   	5350	 4.20	 0.60	-0.68	-0.53	-0.43	HIP 66509                 	204.50196	+19.14808
FIELD   	JF 	66665   	5500	 3.80	 1.05	-0.97	-0.78	-0.48	HIP 66665                 	204.99822	+12.58936
FIELD   	JF 	66815   	5875	 4.50	 0.95	-0.64	-0.63	-0.26	HIP 66815                 	205.42785	-04.02942
FIELD   	JF 	68796   	5725	 4.50	 0.90	-0.52	-0.43	-0.24	HIP 68796                 	211.23780	+74.57358
FIELD   	JF 	68807   	4575	 1.10	 1.90	-1.83	-1.82	-0.33	HIP 68807                 	211.30427	-14.85707
FIELD   	JF 	70681   	5450	 4.50	 0.80	-1.25	-1.23	-0.38	HIP 70681                 	216.85379	-18.41124
FIELD   	JF 	71886   	6400	 4.10	 1.50	-0.40	-0.32	-0.24	HIP 71886                 	220.54666	+03.93862
FIELD   	JF 	71887   	6100	 4.30	 1.20	-0.49	-0.45	-0.26	HIP 71887                 	220.54717	+31.92675
FIELD   	JF 	71939   	6300	 4.40	 1.50	-0.37	-0.36	-0.18	HIP 71939                 	220.70253	+04.04574
FIELD   	JF 	73385   	5575	 3.60	 1.35	-1.59	-1.59	-0.31	HIP 73385                 	224.95735	-22.01272
FIELD   	JF 	73960   	4500	 1.40	 2.10	-1.37	-1.33	-0.38	HIP 73960                 	226.72429	+30.01026
FIELD   	JF 	74033   	5675	 4.10	 1.05	-0.78	-0.80	-0.38	HIP 74033                 	226.94375	+08.87978
FIELD   	JF 	74067   	5575	 4.30	 1.10	-0.90	-0.88	-0.28	HIP 74067                 	227.05236	-07.91320
FIELD   	JF 	74079   	5825	 4.00	 1.30	-0.83	-0.75	-0.31	HIP 74079                 	227.07524	+03.93060
FIELD   	JF 	74234   	4750	 4.50	 0.70	-1.51	-1.33	-0.51	HIP 74234                 	227.55403	-16.46292
FIELD   	JF 	74235   	4850	 4.50	 0.70	-1.57	-1.42	-0.47	HIP 74235                 	227.55453	-16.37940
FIELD   	JF 	80837   	5800	 4.10	 1.15	-0.83	-0.74	-0.37	HIP 80837                 	247.61858	+04.17822
FIELD   	JF 	81170   	5175	 4.70	 0.30	-1.26	-1.23	-0.38	HIP 81170                 	248.67647	-04.22907
FIELD   	JF 	81461   	5600	 4.10	 1.20	-0.65	-0.46	-0.31	HIP 81461                 	249.57246	-02.44217
FIELD   	JF 	85007   	5900	 4.20	 1.20	-0.50	-0.38	-0.34	HIP 85007                 	260.61521	+24.87945
FIELD   	JF 	85378   	5625	 4.00	 1.10	-0.64	-0.53	-0.35	HIP 85378                 	261.67998	+31.07719
FIELD   	JF 	85757   	5450	 3.80	 1.05	-0.76	-0.65	-0.35	HIP 85757                 	262.85585	-02.53881
FIELD   	JF 	86013   	5750	 4.40	 1.15	-0.82	-0.84	-0.25	HIP 86013                 	263.67942	+06.01432
FIELD   	JF 	86431   	5675	 4.10	 1.15	-0.64	-0.54	-0.37	HIP 86431                 	264.90364	+37.18375
FIELD   	JF 	88010   	5200	 4.00	 0.70	-1.49	-1.41	-0.38	HIP 88010                 	269.66022	-13.09712
FIELD   	JF 	88039   	5700	 4.00	 1.30	-0.96	-0.88	-0.33	HIP 88039                 	269.73248	-22.38433
FIELD   	JF 	91058   	6025	 4.10	 1.40	-0.54	-0.49	-0.22	HIP 91058                 	278.62789	+34.41564
FIELD   	JF 	92167   	4575	 2.40	 1.40	-1.47	-1.80	-0.51	HIP 92167                 	281.77683	+74.72540
FIELD   	JF 	92532   	5825	 4.30	 1.00	-0.56	-0.44	-0.25	HIP 92532                 	282.85491	+38.62657
FIELD   	JF 	92781   	5650	 4.20	 0.95	-0.75	-0.57	-0.48	HIP 92781                 	283.59668	-04.60517
FIELD   	JF 	94449   	5625	 3.70	 1.15	-1.26	-1.22	-0.34	HIP 94449                 	288.33633	-00.59509
FIELD   	JF 	96185   	5700	 4.10	 1.00	-0.58	-0.53	-0.35	HIP 96185                 	293.36284	+33.20186
FIELD   	JF 	97023   	5800	 3.80	 1.30	-0.48	-0.35	-0.27	HIP 97023                 	295.77929	+24.59794
FIELD   	JF 	97468   	4450	 1.10	 1.90	-1.71	-1.73	-0.32	HIP 97468                 	297.16489	-12.12215
FIELD   	JF 	98020   	5325	 4.60	 1.10	-1.67	-1.58	-0.49	HIP 98020                 	298.79033	+10.74094
FIELD   	JF 	98532   	5550	 3.60	 1.30	-1.23	-1.18	-0.33	HIP 98532                 	300.25102	-12.25565
FIELD   	JF 	99423   	5650	 3.80	 1.30	-1.50	-1.43	-0.43	HIP 99423                 	302.70067	+23.96514
FIELD   	JF 	99938   	5650	 4.00	 1.20	-0.74	-0.65	-0.31	HIP 99938                 	304.15868	-07.44384
FIELD   	JF 	100568  	5650	 4.40	 1.10	-1.17	-1.12	-0.36	HIP 100568                	305.89936	-21.37062
FIELD   	JF 	100792  	5875	 4.20	 1.40	-1.23	-1.19	-0.34	HIP 100792                	306.54966	+09.45012
FIELD   	JF 	101346  	6000	 3.90	 1.40	-0.65	-0.68	-0.14	HIP 101346                	308.09997	+06.51757
FIELD   	JF 	101382  	5125	 4.00	 0.40	-0.66	-0.38	-0.39	HIP 101382                	308.21517	+41.89848
FIELD   	JF 	103269  	5300	 4.60	 0.85	-1.81	-1.80	-0.48	HIP 103269                	313.81982	+42.30019
FIELD   	JF 	104659  	5825	 4.30	 1.00	-1.12	-1.03	-0.38	HIP 104659                	317.99597	+17.72775
FIELD   	JF 	104660  	5500	 3.90	 1.15	-0.96	-0.78	-0.41	HIP 104660                	317.99801	+24.16817
FIELD   	JF 	105888  	5700	 4.30	 1.00	-0.75	-0.63	-0.34	HIP 105888                	321.67877	+05.44164
FIELD   	JF 	107975  	6275	 3.90	 1.50	-0.64	-0.54	-0.33	HIP 107975                	328.12465	+28.79354
FIELD   	JF 	109067  	5300	 4.30	 0.85	-0.97	-0.88	-0.37	HIP 109067                	331.41960	+12.37669
FIELD   	JF 	109390  	4800	 2.20	 1.50	-1.34	-1.33	-0.43	HIP 109390                	332.42269	-13.60541
FIELD   	JF 	112796  	4525	 1.00	 2.85	-2.25	-2.26	-0.16	HIP 112796                	342.62954	-06.91376
FIELD   	JF 	114962  	5825	 4.30	 1.40	-1.54	-1.33	-0.44	HIP 114962                	349.27101	-13.85099
FIELD   	JF 	115610  	4800	 4.10	 1.20	-0.63	-0.35	-0.13	HIP 115610                	351.29713	+34.28727
FIELD   	JF 	115949  	4500	 0.90	 2.75	-2.19	-2.17	-0.28	HIP 115949                	352.37004	+30.43273
FIELD   	JF 	116082  	6275	 3.70	 1.60	-0.82	-0.80	-0.22	HIP 116082                	352.83219	+52.41069
FIELD   	JF 	117029  	5425	 3.80	 1.05	-0.81	-0.75	-0.30	HIP 117029                	355.86268	+58.08030
FIELD   	JF 	117041  	5300	 4.20	 0.90	-0.88	-0.81	-0.25	HIP 117041                	355.89549	-07.92333
FIELD   	JS 	B-010306	5550	 4.19	 1.50	-1.13	-1.10	-0.30	BD-010306                 	033.66791	-01.20142
FIELD   	JS 	B-012582	5148	 2.86	 1.20	-2.21	-2.26	-0.41	BD-012582                 	178.40550	-02.01020
FIELD   	JS 	B+191185	5500	 4.19	 1.10	-1.09	-1.09	-0.31	BD+191185                 	090.81193	+19.36074
FIELD   	JS 	B+521601	4911	 2.10	 2.05	-1.40	-1.49	-0.33	BD+521601                 	179.99607	+51.77156
FIELD   	JS 	G005-001	5500	 4.32	 0.80	-1.24	-1.18	-0.31	G 005-001                 	042.15595	+22.59844
FIELD   	JS 	G009-036	5625	 4.57	 0.65	-1.17	-1.17	-0.44	G 009-036                 	134.49691	+24.47293
FIELD   	JS 	G017-025	4966	 4.26	 0.80	-1.54	-1.37	-0.42	G 017-025                 	248.67647	-04.22907
FIELD   	JS 	G023-014	5025	 3.00	 1.30	-1.64	-1.57	-0.44	G 023-014                 	297.95670	+05.61273
FIELD   	JS 	G028-043	5061	 4.50	 0.80	-1.64	-1.58	-0.42	G 028-043                 	347.38730	+00.71097
FIELD   	JS 	G029-025	5225	 4.28	 0.80	-1.09	-0.91	-0.44	G 029-025                 	350.57566	+12.15933
FIELD   	JS 	G040-008	5200	 4.08	 0.50	-0.97	-0.80	-0.37	G 040-008                 	122.22687	+24.62396
FIELD   	JS 	G058-025	6001	 4.21	 1.05	-1.40	-1.49	-0.36	G 058-025                 	162.86719	+20.27749
FIELD   	JS 	G059-001	5922	 3.98	 0.40	-0.95	-0.76	-0.38	G 059-001                 	182.22777	+21.78873
FIELD   	JS 	G063-046	5705	 4.25	 1.30	-0.90	-0.85	-0.28	G 063-046                 	204.99822	+12.58936
FIELD   	JS 	G068-003	4975	 3.50	 0.95	-0.76	-0.65	-0.28	G 068-003                 	348.32145	+20.94276
FIELD   	JS 	G074-005	5668	 4.24	 1.50	-1.05	-1.03	-0.28	G 074-005                 	032.60220	+29.80657
FIELD   	JS 	G090-025	5303	 4.46	 1.20	-1.78	-1.83	-0.53	G 090-025                 	118.38800	+30.60507
FIELD   	JS 	G095-57A	4965	 4.40	 0.90	-1.22	-1.08	-0.37	G 095-57A                 	056.75882	+41.42726
FIELD   	JS 	G095-57B	4800	 4.57	 0.60	-1.06	-1.03	-0.30	G 095-57B                 	056.76098	+41.42849
FIELD   	JS 	G102-020	5254	 4.44	 0.90	-1.25	-1.23	-0.32	G 102-020                 	085.04056	+12.17810
