Star	EW5407	EWerror5407	HFS5407	[Mn/H]5407	[Mn/Fe]5407	[Mn/Fe]error5407	EW5420	EWerror5420	HFS5420	[Mn/H]5420	[Mn/Fe]5420	[Mn/Fe]error5420
ET009	52.0	3.7	-0.11	-1.83	-0.17	0.07	50.0	3.3	-0.10	-2.13	-0.47	0.07
ET013	35.0	3.9	-0.12	-1.84	-0.18	0.09	38.0	12.1	-0.14	-2.09	-0.43	0.18
ET024	150.0	5.5	-0.84	-1.52	-0.29	0.07	183.0	4.9	-1.19	-1.59	-0.36	0.07
ET026	 	 	 	 	 	 	28.0	4.2	-0.08	-2.35	-0.57	0.09
ET027	57.0	2.2	-0.13	-1.80	-0.32	0.05	69.0	2.6	-0.17	-1.97	-0.49	0.05
ET028	135.0	3.8	-0.80	-1.39	-0.20	0.04	155.0	4.7	-1.04	-1.56	-0.37	0.04
ET031	 	 	 	 	 	 	39.0	4.8	-0.08	-2.05	-0.40	0.08
ET033	 	 	 	 	 	 	24.0	5.5	-0.06	-2.34	-0.59	0.12
ET039	32.0	4.7	-0.13	-1.58	0.51	0.13	 	 	 	
ET043	74.0	4.0	-0.32	-1.53	-0.31	0.06	97.0	4.0	-0.54	-1.63	-0.41	0.06
ET048	 	 	 	 	 	 	17.0	4.6	-0.04	-2.17	-0.29	0.13
ET051	165.0	2.6	-1.49	-1.36	-0.46	0.07	165.0	4.1	-1.49	-1.65	-0.75	0.08
ET054	26.0	3.8	-0.06	-2.00	-0.21	0.08	35.0	3.1	-0.09	-2.14	-0.35	0.06
ET057	109.0	3.2	-0.58	-1.44	-0.13	0.05	114.0	1.6	-0.63	-1.69	-0.38	0.04
ET059	65.0	3.7	-0.18	-1.57	-0.06	0.05	73.0	4.1	-0.22	-1.78	-0.27	0.05
ET060	 	 	 	 	 	 	60.0	2.9	-0.21	-1.91	-0.37	0.04
ET063	111.0	4.6	-0.71	-1.45	-0.29	0.08	134.0	3.5	-1.03	-1.61	-0.45	0.07
ET064	85.0	10.0	-0.34	-1.52	-0.16	0.09	110.0	2.9	-0.58	-1.64	-0.28	0.04
ET066	68.0	4.2	-0.22	-1.58	-0.30	0.05	80.0	4.4	-0.30	-1.76	-0.48	0.05
ET067	40.0	5.7	-0.12	-1.83	-0.20	0.09	40.0	6.7	-0.11	-2.11	-0.48	0.10
ET069	23.0	4.1	-0.06	-1.82	0.27	0.10	19.0	5.4	-0.05	-2.20	-0.11	0.15
ET071	85.0	5.5	-0.41	-1.47	-0.14	0.06	97.0	5.2	-0.55	-1.68	-0.35	0.06
ET073	44.0	7.8	-0.13	-1.67	-0.16	0.10	51.0	12.3	-0.17	-1.88	-0.37	0.14
ET083	 	 	 	 	 	 	26.0	2.7	-0.06	-2.17	-0.22	0.06
ET094	43.0	5.0	-0.09	-1.96	-0.12	0.08	56.0	4.7	-0.13	-2.10	-0.26	0.07
ET097	21.0	3.7	-0.04	-2.03	0.11	0.08	35.0	5.1	-0.07	-2.14	-0.25	0.08
ET103	104.0	4.3	-0.46	-1.34	-0.15	0.06	113.0	6.9	-0.55	-1.58	-0.39	0.07
ET104	31.0	4.4	-0.08	-1.89	-0.29	0.08	38.0	4.2	-0.11	-2.08	-0.48	0.07
ET109	68.0	3.4	-0.14	-1.93	-0.10	0.05	72.0	2.2	-0.15	-2.18	-0.35	0.05
ET121	19.0	2.8	-0.05	-1.81	0.52	0.09	 	 	 	
ET126	111.0	4.1	-0.72	-1.41	-0.32	0.06	129.0	4.9	-0.98	-1.60	-0.51	0.06
ET132	50.0	4.3	-0.17	-1.70	-0.22	0.06	47.0	4.4	-0.15	-2.02	-0.54	0.06
ET133	127.0	4.7	-0.93	-1.29	-0.24	0.06	128.0	4.6	-0.97	-1.60	-0.55	0.06
ET137	187.0	6.3	-1.60	-1.30	-0.43	0.09	185.0	9.0	-1.60	-1.62	-0.75	0.10
ET138	28.0	4.3	-0.06	-2.13	-0.45	0.09	42.0	6.0	-0.09	-2.20	-0.52	0.09
ET139	115.0	8.3	-0.44	-1.54	-0.15	0.08	143.0	5.3	-0.68	-1.65	-0.26	0.07
ET141	42.0	3.4	-0.10	-1.92	-0.26	0.07	70.0	4.3	-0.24	-1.93	-0.27	0.06
ET147	106.0	11.8	-0.56	-1.24	-0.11	0.11	105.0	9.9	-0.55	-1.54	-0.41	0.10
ET150	119.0	6.6	-0.85	-1.48	-0.57	0.08	82.0	50.2	-0.39	-2.01	-1.10	0.43
ET151	50.0	4.3	-0.17	-1.72	0.03	0.06	46.0	3.3	-0.15	-2.05	-0.30	0.06
ET160	90.0	5.1	-0.47	-1.44	-0.29	0.05	111.0	5.8	-0.72	-1.59	-0.44	0.05
ET164	30.0	5.3	-0.07	-1.68	0.19	0.10	 	 	 	
ET165	118.0	4.2	-0.83	-1.31	-0.23	0.07	129.0	6.6	-0.98	-1.53	-0.45	0.08
ET166	50.0	4.5	-0.16	-1.63	-0.16	0.06	72.0	5.3	-0.31	-1.71	-0.24	0.06
ET168	110.0	6.8	-0.69	-1.24	-0.16	0.08	113.0	11.9	-0.72	-1.50	-0.42	0.10
ET173	141.0	6.7	-0.61	-1.51	-0.06	0.07	123.0	20.0	-0.47	-1.92	-0.47	0.14
ET198	50.0	4.7	-0.16	-1.55	-0.41	0.07	63.0	7.6	-0.23	-1.70	-0.56	0.08
ET200	35.0	6.0	-0.08	-1.80	-0.33	0.10	49.0	5.2	-0.13	-1.89	-0.42	0.08
ET202	58.0	7.6	-0.20	-1.48	-0.18	0.10	72.0	7.6	-0.29	-1.63	-0.33	0.09
ET206	66.0	4.9	-0.25	-1.40	-0.09	0.06	68.0	3.6	-0.27	-1.67	-0.36	0.06
ET232	51.0	4.8	-0.22	-1.30	-0.32	0.06	53.0	4.5	-0.23	-1.56	-0.58	0.06
ET237	32.0	10.5	-0.09	-1.72	-0.13	0.18	57.0	6.5	-0.20	-1.68	-0.09	0.10
ET238	 	 	 	 	 	 	31.0	4.1	-0.08	-2.07	-0.52	0.08
ET240	56.0	5.0	-0.23	-1.60	-0.47	0.08	96.0	5.1	-0.65	-1.56	-0.43	0.07
ET241	25.0	5.8	-0.06	-1.88	-0.49	0.12	56.0	4.4	-0.20	-1.75	-0.36	0.06
ET242	61.0	6.1	-0.22	-1.49	-0.19	0.06	81.0	7.5	-0.37	-1.59	-0.29	0.06
ET244	65.0	4.8	-0.24	-1.36	-0.14	0.06	55.0	4.5	-0.19	-1.76	-0.54	0.06
ET270	32.0	3.1	-0.08	-1.84	-0.30	0.06	46.0	5.9	-0.14	-1.94	-0.40	0.08
ET275	46.0	7.6	-0.12	-1.50	-0.30	0.10	59.0	6.3	-0.17	-1.62	-0.42	0.08
ET300	49.0	6.4	-0.16	-1.54	-0.17	0.10	69.0	6.2	-0.29	-1.63	-0.26	0.09
ET317	27.0	3.4	-0.07	-1.81	-0.14	0.08	32.0	4.2	-0.08	-2.00	-0.33	0.08
ET320	34.0	3.7	-0.10	-1.58	0.11	0.07	20.0	6.5	-0.04	-2.11	-0.42	0.17
ET321	 	 	 	 	 	 	17.0	4.6	-0.04	-2.35	-0.44	0.14
ET327	66.0	5.2	-0.26	-1.49	-0.18	0.07	75.0	4.3	-0.33	-1.70	-0.39	0.06
ET339	106.0	5.5	-0.65	-1.22	-0.15	0.06	117.0	3.7	-0.80	-1.44	-0.37	0.06
ET342	55.0	6.8	-0.22	-1.37	-0.04	0.09	41.0	10.2	-0.13	-1.81	-0.48	0.14
ET354	48.0	5.1	-0.20	-1.31	-0.26	0.07	49.0	7.9	-0.20	-1.58	-0.53	0.10
ET363	54.0	5.3	-0.14	-1.20	0.06	0.07	47.0	9.9	-0.12	-1.60	-0.34	0.12
ET369	 	 	 	 	 	 	16.0	3.8	-0.04	-2.14	0.19	0.13
ET376	81.0	5.4	-0.29	-1.34	-0.19	0.08	94.0	6.1	-0.38	-1.48	-0.33	0.08
ET378	76.0	4.1	-0.36	-1.46	-0.30	0.08	92.0	4.4	-0.55	-1.64	-0.48	0.08
ET379	29.0	3.2	-0.08	-1.70	-0.07	0.09	29.0	6.6	-0.08	-1.98	-0.35	0.13
ET382	36.0	4.7	-0.14	-1.57	0.15	0.09	 	 	 	
ET384	28.0	5.0	-0.09	-1.73	-0.29	0.11	32.0	8.4	-0.11	-1.96	-0.52	0.15
ET389	 	 	 	 	 	 	33.0	6.6	-0.11	-2.07	-0.49	0.13
ET392	53.0	11.0	-0.19	-1.40	0.06	0.13	24.0	8.3	-0.06	-2.09	-0.63	0.18