ID, Teff, logg, vel, [Fe/H], [Mn/Fe], [Mn/Fe]err, additional uncertainty, RA, Dec
Scl 400, 4650, 0.90, 1.7, -1.98	, 	   ,     , 0.07, 01 00 17.0895890704, -33 45 13.860920066
Scl 459, 4500, 1.00, 1.65, -1.66, -0.34, 0.08, 0.07, 01 00 12.5297795196, -33 43 01.361019186
Scl 461, 4500, 1.20, 1.7, -1.56	, -0.49, 0.08, 0.07, 01 00 18.2971209926, -33 42 12.275746482
Scl 479, 4325, 0.70, 1.7, -1.77	, -0.39, 0.09, 0.07, 01 00 12.7788555195, -33 41 15.834372068
Scl 482, 4400, 1.10, 1.7, -1.24	, -0.40, 0.09, 0.07, 00 59 58.2618061098, -33 41 08.667881967
Fnx 25, 4025, 0.00, 2.0, -1.21	, -0.40, 0.08, 0.07, 02 39 47.1107817150, -34 31 49.880174767
Fnx 12, 4150, 0.00, 2.1, -1.60	, -0.35, 0.10, 0.07, 02 40 10.0206094404, -34 29 58.960009378
Fnx 21, 4000, 0.50, 1.7, -0.67	, -0.34, 0.15, 0.07, 02 40 04.4135355616, -34 27 11.599797253
Leo 2, 4200, 0.50, 1.85, -1.06	, -0.39, 0.10, 0.07, 10 08 33.52, +12 20 45.0
Leo 5, 4250, 0.80, 2.2, -1.52	, -0.35, 0.09, 0.07, 10 08 22.0517801746, +12 20 20.822933112
Car 2, 4250, 0.55, 2.1, -1.60	, -0.33, 0.06, 0.07, 06 41 57.8030486600, -50 59 53.155403567
Car 3, 4250, 0.20, 2.2, -1.65	, -0.44, 0.08, 0.07, 06 41 54.5939073495, -50 57 00.688379354
Car 4, 4200, 0.40, 2.1, -1.59	, -0.32, 0.06, 0.07, 06 41 48.2299238850, -50 55 01.672240427
Car 10, 4375, 0.40, 2.0, -1.94	, -0.42, 0.09, 0.07, 06 41 46.3697025556, -51 01 22.682614848
Car 12, 4300, 0.60, 1.9, -1.41	, -0.32, 0.06, 0.07, 06 41 36.4795308584, -50 56 23.183281333