Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Fe/H]error	[Mn/Fe]	[Mn/Fe]error
SAGA_UMi_000008	J.G.Cohen+,ApJ, 719, 931, 2010	15 11 01.48	+66 52 54.5	4400	0.6		-2.47	0.2	-0.26	0.34
SAGA_UMi_000025	J.G.Cohen+,ApJ, 719, 931, 2010	15 13 30.30	+67 06 37.3	4400	0.75	-2.43	-2.48	0.16	-0.4	0.13
SAGA_UMi_000034	J.G.Cohen+,ApJ, 719, 931, 2010	15 10 11.68	+67 08 28.8	4530	1	-3.08	-3.13	0.19	-0.84	0.04
SAGA_UMi_000082	J.G.Cohen+,ApJ, 719, 931, 2010	15 11 05.76	+67 13 15.3	4290	0.8	-1.55	-1.6	0.16	-0.25	0.15
SAGA_UMi_000098	J.G.Cohen+,ApJ, 719, 931, 2010	15 08 04.97	+67 14 00.8	4290	0.8	-1.35	-1.4	0.14	-0.82	0.14
SAGA_UMi_000136	J.G.Cohen+,ApJ, 719, 931, 2010	15 13 26.09	+67 16 22.7	4525	0.8	-3.1	-3.15	0.22	-0.7	0.11
SAGA_UMi_000151	J.G.Cohen+,ApJ, 719, 931, 2010	15 08 10.01	+67 17 24.5	4425	0.8	-2.15	-2.2	0.17	-0.46	0.14
SAGA_UMi_000220	J.G.Cohen+,ApJ, 719, 931, 2010	15 10 27.11	+67 24 36.2	4415	0.8	-1.76	-1.81	0.16	-0.33	0.12
SAGA_UMi_000221	J.G.Cohen+,ApJ, 719, 931, 2010	15 13 12.33	+67 33 20.6	4365	0.65	-2.08	-2.13	0.15	-0.47	0.03
SAGA_UMi_000222	J.G.Cohen+,ApJ, 719, 931, 2010	15 11 24.30	+67 33 50.2	4290	0.7	-1.91	-1.96	0.18	-0.31	0.21