Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
N5024-S35	198.26522763173	18.16082419713	4229	0.7398815949757894	-1.9247763224283352	0.0	0.1994350389866432	-2.1739392324305293	0.09157494946661988	42.32155144594516
N5024-S16	198.20792131424	18.16733634743	4465	1.1176236470540364	-2.0168930661196254	0.0	0.2276681163556594	-2.388230327097459	0.08903899604664135	10.598093415992787
N5024-S29	198.24459923108	18.17894321654	4542	1.1664302349090574	-2.0045057512527262	0.0	0.18337140203171015	-2.3489631393880384	0.09333766028009381	10.881263405655579
N5024-S32	198.2579803466797	18.173328399658203	4694	1.3708726167678833	-2.2178865839654534	0.0	0.23014964700722065	-2.5586265411412907	0.09878990392121684	5.6744780755293975
B7704	198.23959350585938	18.167362213134766	4753	1.5835727453231812	-2.015191254230286	0.0	0.18201449349216559	-2.234892364310055	0.11195351904898036	2.4039859605240443
B1384	198.15316772460938	18.12628173828125	4639	1.6031181017557776	-2.040940399273942	0.0	0.2415254998363404	-3.5468912055442425	0.29208654609352064	3.5257201874738104
N5024-S230	198.2838592529297	18.162263870239258	4849	1.6879225969314575	-1.9910418985188603	0.0	0.23366356933861662	-2.546908786198767	0.1041762011193303	3.1866696202594316
B9354	198.248779296875	18.177841186523438	4733	1.6694455544153846	-1.8671022414349092	0.0	0.20600266497155806	-2.24586248450267	0.08897228650126356	3.752885005624606
B6841	198.16700744628906	18.166290283203125	4857	1.8993574778238929	-1.8450226461100272	0.0	0.1206287703105486	-2.561726421607322	0.12493296204193588	2.339694177451454
B8372	198.2407684326172	18.171585083007812	4874	1.9350365002950032	-2.1752148539472604	0.0	0.2053912006154888	-2.589614377675979	0.12330602754014977	1.5662168443458842
B5957	198.23350524902344	18.155858993530273	4872	1.9294948180516558	-2.154307638369868	0.0	0.31542118170597994	-2.5192143049809843	0.11355319291958252	1.9706584407511183
B8810	198.2559356689453	18.17376708984375	4970	1.9772334893544514	-2.029147892255115	0.0	0.2312126638654445	-2.4828802855263437	0.1261879383636326	1.8110601568504925
B5129	198.26153564453125	18.147939682006836	4850	2.0350801944732666	-2.0804718526481945	0.0	0.29796287881596484	-2.551379524143036	0.13430269825019608	1.5683930175502696
B3073	198.21792602539062	18.135879516601562	4995	2.046386321385701	-2.033273191597557	0.0	0.311480710100008	-2.443345597377712	0.13161003553856265	1.212805934265532
B3897	198.27789306640625	18.13811492919922	5038	2.1322824160257974	-2.178602082976558	0.0	0.3647959883034225	-2.7994241251181977	0.13864755867800682	1.008269927840915
B6723	198.2691192626953	18.15892219543457	5019	2.287997961044311	-1.9262096111766547	0.0	0.18906419382289125	-2.2679291071982566	0.12391529718259725	1.4041437847326208
B1452	198.19186401367188	18.12444496154785	5008	2.2990279992421465	-2.062283046742729	0.0	0.13805548673636803	-2.447311575908828	0.16076619596125458	1.2188405685887564
B5388	198.19544982910156	18.15423011779785	5217	2.635061820348103	-1.8871819894355117	0.0	0.15133094282510634	-6.949745058634451	2495.2610090196804	0.6425617738497397
B8404	198.2216339111328	18.173105239868164	5224	2.6447335084279375	-1.8938315732903848	0.0	0.3297918017351087	-2.533941601807938	0.2903624888780302	0.8868165192941979
B6101	198.25547790527344	18.1555118560791	5205	2.6313286622365317	-2.0201302082146433	0.0	0.26661834856680733	-3.5491274284366336	1.8264879538696166	0.8052459202828994
B2580	198.343505859375	18.123779296875	5107	2.640912373860677	-2.1878788312081117	0.0	0.5563441143548287	-3.091380528648643	0.5708001185704302	1.3908393822872371
B4973	198.20335388183594	18.150754928588867	5181	2.6460625330607095	-2.1074287658023168	0.0	0.2358686554868399	-2.3220851578586212	0.1825438722924516	0.8509075741051242
B4681	198.1055908203125	18.15498161315918	5159	2.645760138829549	-2.0924165162338264	0.0	0.3066161651527006	-2.2694453868696027	0.18517148756743515	1.1881905897083527
N5024-S104	198.09654235839844	18.163789749145508	5208	2.7451571623484297	-1.9721035494359724	0.0	0.21516821595539434	-2.2922373387986354	0.19849671578229577	0.9892264652324129
B4956	198.2272186279297	18.14905548095703	5220	2.7755279541015625	-2.0947531293587405	0.0	0.4272452255680836	-2.357714180635476	0.4811390564809784	0.7128595541873338
B8068	198.17083740234375	18.174266815185547	5184	2.803948720296223	-2.2161393211078564	0.0	0.299629889510077	-2.5399879636588034	0.3507287177551185	0.9273590298516438
B10857	198.33364868164062	18.182802200317383	5218	2.8452866872151685	-2.0432362402854323	0.0	0.08726549824359908	-2.7734253524662	0.5951346761347878	1.2234087079660687
B10418	198.22378540039062	18.18681526184082	5262	2.9060353438059483	-2.0122349323764044	0.0	-0.327311207475373	-2.3376930729495724	1.2932001326952542	0.5574907014426665
B5949	198.23486328125	18.15571403503418	5240	2.999524434407552	-2.088009946887582	0.0	0.2854163838896072	-2.2098174570404012	0.4568803518832123	0.8135766722393013
B7259	198.19735717773438	18.16738510131836	5374	3.009771505991618	-1.85443982885733	0.0	0.18451623586577884	-1.9045862839411445	0.3876518602949167	0.7879702108753794
N5024-S141	198.12545776367188	18.180116653442383	5275	3.0258558591206866	-1.985274287712953	0.0	0.15802935355548445	-6.217872495752736	2093.688317745205	0.6645471107689588
A3709	198.17576599121094	18.119617462158203	5394	3.130443175633748	-2.5013337675574867	0.0	0.9252958311522104	-2.0444342660646133	0.4245978373869993	0.7468058419695565
B9981	198.2110595703125	18.18451690673828	5368	3.1440130074818926	-2.0151757355600313	0.0	0.34760720792994376	-7.122980399233393	12840.260587636982	0.7779494547826122
B2342	198.28074645996094	18.12621307373047	5433	3.151769161224365	-1.8329424289914842	0.0	0.2722534565216737	-1.571572470354563	0.2512674010560386	0.9084392542055462
B5643	198.28759765625	18.149986267089844	5535	3.255602359771728	-2.107768050675651	0.0	0.31726007895619607	-1.7589754105490882	0.6591618709375819	1.2608374457840095
B10552	198.33224487304688	18.180625915527344	5488	3.5740775267283116	-2.358014418263243	0.0	0.03460013314955167	-2.347780356807743	1.2828828432949955	1.294033889503849
B1524	198.1087646484375	18.13051414489746	5440	3.457178990046183	-1.857353486447864	0.0	0.0747389073346062	-1.2784236015303272	0.5393035345817889	0.5568603528620295
B1602	198.1734619140625	18.126951217651367	5057	2.1092280546824136	-2.1084651530857488	0.0	0.31546036513367803	-2.687963327136569	0.15901132961995448	1.3898131220025667
B4826	198.26019287109375	18.1458797454834	5120	2.534146467844645	-2.038630548512266	0.0	0.3271108597008527	-2.4725901916364785	0.21454807549600102	0.9063461423367146
B10414	198.22523498535156	18.18669891357422	5252	2.905749718348185	-2.218409245482126	0.0	0.4543786444353315	-3.4842426333235488	2.7755612851679694	0.7742057889582828
B11032	198.30010986328125	18.186128616333008	5308	2.921298424402872	-1.8999221308008023	0.0	0.1995883634395442	-2.427301263081252	0.35553651616903387	0.981391293456296
B9512	198.13143920898438	18.186647415161133	5157	2.9258379141489668	-2.2136226392918488	0.0	0.4782116268492007	-7.1367324058082335	2422.8443041569367	0.8528293193867489
