Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])
Bel10023	227.23111666	67.2544297221	4362	0.864861011505	-1.67780952904	0.0181687904731	-0.352736723306	-2.86858726231	0.293110221543
Bel10018	227.113462504	67.1688102778	4045	0.531742493312	-1.56621360429	0.00585671726083	-0.191638966937	0.445325089878	0.198061501035
Bel10029	227.233249998	67.1645588885	4137	0.529760648807	-1.34422266359	0.0135045252168	0.355345114879	-1.00320055911	0.261344089417
Bel10042	227.217525005	67.2129530557	4315	0.887154837449	-2.2267564109	0.00969426927656	0.120672152121	-2.48701506397	0.162438080462
Bel40023	227.311974998	67.2957866669	4366	0.978065709273	-2.12126407895	0.0105035012766	-0.140909066749	-2.37681322576	0.149276162385
Bel10044	227.176287492	67.2202663888	4358	0.976609071096	-1.90984528977	0.00843673035631	0.0453612311545	-2.07045204407	0.166477791014
Bel40030	227.284679166	67.3529166667	4485	1.30997510751	-2.31770394419	0.0217826780317	0.190947777738	-2.59055598844	0.174090671338
Bel10091	227.276937501	67.2853011111	4529	1.35242525736	-2.07186403057	0.0198738233557	-0.119205593952	-2.86346924762	0.693533424727
Pal157	227.413708337	67.3563333331	4749	1.47533969084	-2.05423595156	0.0295833471181	-0.024071604933	-2.24580016385	0.139040560304
Bel10143	227.154145829	67.21114	4622	1.63556559881	-2.14269757456	0.0301216055009	0.0695647357104	-1.90218499728	0.264334990089
Bel10182	227.215145826	67.2478166665	4776	1.94637513161	-1.85906409028	0.0437509073229	-0.0424587909161	-1.17088928205	0.442534399853
Bel10131	227.308633331	67.1884222221	4796	1.96220254898	-2.30873804264	0.0486499495374	0.0501669979939	-1.87046919688	0.365963716678
Bel10718	227.315879166	67.2619266669	4823	2.11003565788	-2.28807546661	0.0798704486768	0.569392194253	-1.62782641188	0.671666647692
Bel10430	227.194483328	67.1661999999	4858	2.26371908188	-1.73203110511	0.0847191172006	0.311936667322	-1.86679531166	0.438550653734
Bel40470	227.368074997	67.3487813886	5883	2.6747815609	-1.85732510103	0.217155734991	0.298165369034	-0.809409601986	0.408841830227